Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_11,Edge Chromium 135.0.3179.73,,,13-04-2025 22:09:40,13-04-2025 22:10:09,28.831s,PASSED
,,,,,,,
Test Cases/WEB/TC01_Load Page,Edge Chromium 135.0.3179.73,,,13-04-2025 22:09:41,13-04-2025 22:10:09,27.874s,PASSED
"DATA BINDING - {""(Default) inPut..."":"""",""(Default) phone..."":""0"",""(Default) otpLo..."":""0"",""(Default) comme..."":""[]"",""(Default) nameO..."":""""}",,,,,,,
"setWebDriverPreferencesProperty(""args"", [""--disable-features=SafeBrowsing,PasswordLeakToggleMove""])",Edge Chromium 135.0.3179.73,,,13-04-2025 22:09:42,13-04-2025 22:09:42,0.012s,PASSED
"openBrowser("""")",Edge Chromium 135.0.3179.73,,,13-04-2025 22:09:42,13-04-2025 22:09:55,12.664s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Edge Chromium 135.0.3179.73,,,13-04-2025 22:09:55,13-04-2025 22:09:58,2.651s,PASSED
"click(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/a_Make Appointment""))",Edge Chromium 135.0.3179.73,,,13-04-2025 22:09:58,13-04-2025 22:09:59,1.347s,PASSED
"setText(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Edge Chromium 135.0.3179.73,,,13-04-2025 22:09:59,13-04-2025 22:10:00,1.232s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Edge Chromium 135.0.3179.73,,,13-04-2025 22:10:00,13-04-2025 22:10:01,0.956s,PASSED
"click(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/button_Login""))",Edge Chromium 135.0.3179.73,,,13-04-2025 22:10:01,13-04-2025 22:10:02,1.086s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Edge Chromium 135.0.3179.73,,,13-04-2025 22:10:02,13-04-2025 22:10:03,1.109s,PASSED
"click(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",Edge Chromium 135.0.3179.73,,,13-04-2025 22:10:03,13-04-2025 22:10:04,0.361s,PASSED
"click(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/input_Medicaid_programs""))",Edge Chromium 135.0.3179.73,,,13-04-2025 22:10:04,13-04-2025 22:10:04,0.362s,PASSED
"click(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/div_Visit Date (Required)_input-group-addon""))",Edge Chromium 135.0.3179.73,,,13-04-2025 22:10:04,13-04-2025 22:10:04,0.485s,PASSED
"click(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/td_30""))",Edge Chromium 135.0.3179.73,,,13-04-2025 22:10:04,13-04-2025 22:10:05,0.684s,PASSED
"setText(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/textarea_Comment_comment""), findTestData(""TestData_Website_01"").getValue(""comment"", 2))",Edge Chromium 135.0.3179.73,,,13-04-2025 22:10:05,13-04-2025 22:10:06,0.854s,PASSED
"click(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/button_Book Appointment""))",Edge Chromium 135.0.3179.73,,,13-04-2025 22:10:06,13-04-2025 22:10:07,0.817s,PASSED
"click(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/h2_Appointment Confirmation""))",Edge Chromium 135.0.3179.73,,,13-04-2025 22:10:07,13-04-2025 22:10:07,0.531s,PASSED
"verifyElementText(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/h2_Appointment Confirmation""), ""Appointment Confirmation"")",Edge Chromium 135.0.3179.73,,,13-04-2025 22:10:07,13-04-2025 22:10:08,0.291s,PASSED
closeBrowser(),Edge Chromium 135.0.3179.73,,,13-04-2025 22:10:08,13-04-2025 22:10:09,1.325s,PASSED
