Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_01,TestCloud - Windows - Chrome 137.0.7117.2,,,13-04-2025 21:45:02,13-04-2025 21:46:33,1m - 30.251s,PASSED
,,,,,,,
Test Cases/WEB/TC05_Login 05,TestCloud - Windows - Chrome 137.0.7117.2,,,13-04-2025 21:45:03,13-04-2025 21:45:24,21.373s,PASSED
"DATA BINDING - {""(Default) noNam..."":""""}",,,,,,,
"openBrowser("""")",TestCloud - Windows - Chrome 137.0.7117.2,,,13-04-2025 21:45:03,13-04-2025 21:45:18,14.939s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",TestCloud - Windows - Chrome 137.0.7117.2,,,13-04-2025 21:45:18,13-04-2025 21:45:18,0.391s,PASSED
"click(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/a_Make Appointment""))",TestCloud - Windows - Chrome 137.0.7117.2,,,13-04-2025 21:45:18,13-04-2025 21:45:19,1.219s,PASSED
"setText(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",TestCloud - Windows - Chrome 137.0.7117.2,,,13-04-2025 21:45:19,13-04-2025 21:45:21,2.014s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",TestCloud - Windows - Chrome 137.0.7117.2,,,13-04-2025 21:45:21,13-04-2025 21:45:23,1.162s,PASSED
"click(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/button_Login""))",TestCloud - Windows - Chrome 137.0.7117.2,,,13-04-2025 21:45:23,13-04-2025 21:45:24,1.016s,PASSED
closeBrowser(),TestCloud - Windows - Chrome 137.0.7117.2,,,13-04-2025 21:45:24,13-04-2025 21:45:24,0.396s,PASSED
,,,,,,,
Test Cases/WEB/TC04_Login 04,TestCloud - Windows - Chrome 137.0.7117.2,,,13-04-2025 21:45:24,13-04-2025 21:45:37,12.679s,PASSED
"DATA BINDING - {""(Default) varia..."":""""}",,,,,,,
"openBrowser("""")",TestCloud - Windows - Chrome 137.0.7117.2,,,13-04-2025 21:45:24,13-04-2025 21:45:31,6.561s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",TestCloud - Windows - Chrome 137.0.7117.2,,,13-04-2025 21:45:31,13-04-2025 21:45:31,0.557s,PASSED
"click(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/a_Make Appointment""))",TestCloud - Windows - Chrome 137.0.7117.2,,,13-04-2025 21:45:31,13-04-2025 21:45:32,1.112s,PASSED
